INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
710	710	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
711	711	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
712	712	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
713	713	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
714	714	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
715	715	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
716	716	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
717	717	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
718	718	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
719	719	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
720	720	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
721	721	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
932	932	709	-1	-1	-1	-1	-1	-1	-1	-1	30900004
933	933	710	-1	-1	-1	-1	-1	-1	-1	-1	30900004
934	934	711	-1	-1	-1	-1	-1	-1	-1	-1	30900004
935	935	712	-1	-1	-1	-1	-1	-1	-1	-1	30900004
936	936	713	-1	-1	-1	-1	-1	-1	-1	-1	30900004
937	937	714	-1	-1	-1	-1	-1	-1	-1	-1	30900004
938	938	715	-1	-1	-1	-1	-1	-1	-1	-1	30900004
939	939	716	-1	-1	-1	-1	-1	-1	-1	-1	30900004
940	940	717	-1	-1	-1	-1	-1	-1	-1	-1	30900004
941	941	718	-1	-1	-1	-1	-1	-1	-1	-1	30900004
942	942	665	932	709	-1	-1	-1	-1	-1	-1	30900004
943	943	676	933	710	-1	-1	-1	-1	-1	-1	30900004
944	944	689	934	711	-1	-1	-1	-1	-1	-1	30900004
945	945	686	935	712	-1	-1	-1	-1	-1	-1	30900004
946	946	668	936	713	-1	-1	-1	-1	-1	-1	30900004
947	947	673	937	714	-1	-1	-1	-1	-1	-1	30900004
948	948	683	938	715	-1	-1	-1	-1	-1	-1	30900004
949	949	679	939	716	-1	-1	-1	-1	-1	-1	30900004
950	950	670	940	717	-1	-1	-1	-1	-1	-1	30900004
951	951	721	941	718	-1	-1	-1	-1	-1	-1	30900004
952	952	664	932	709	-1	-1	-1	-1	-1	-1	30900004
953	953	677	933	710	-1	-1	-1	-1	-1	-1	30900004
954	954	688	934	711	-1	-1	-1	-1	-1	-1	30900004
955	955	685	935	712	-1	-1	-1	-1	-1	-1	30900004
956	956	667	936	713	-1	-1	-1	-1	-1	-1	30900004
957	957	674	937	714	-1	-1	-1	-1	-1	-1	30900004
958	958	682	938	715	-1	-1	-1	-1	-1	-1	30900004
959	959	680	939	716	-1	-1	-1	-1	-1	-1	30900004
960	960	671	940	717	-1	-1	-1	-1	-1	-1	30900004
961	961	720	941	718	-1	-1	-1	-1	-1	-1	30900004
962	962	666	932	709	-1	-1	-1	-1	-1	-1	30900004
963	963	678	933	710	-1	-1	-1	-1	-1	-1	30900004
964	964	690	934	711	-1	-1	-1	-1	-1	-1	30900004
965	965	687	935	712	-1	-1	-1	-1	-1	-1	30900004
966	966	669	936	713	-1	-1	-1	-1	-1	-1	30900004
967	967	675	937	714	-1	-1	-1	-1	-1	-1	30900004
968	968	684	938	715	-1	-1	-1	-1	-1	-1	30900004
969	969	681	939	716	-1	-1	-1	-1	-1	-1	30900004
970	970	672	940	717	-1	-1	-1	-1	-1	-1	30900004
971	971	719	941	718	-1	-1	-1	-1	-1	-1	30900004

10001	2	3	4	5	6	7	8	9	10	11	30900004
10031	32	33	34	35	36	37	38	39	40	41	30900004
10061	62	63	64	65	66	67	68	69	70	71	30900004
10100	101	102	103	104	105	106	107	108	109	110	30900004
20001	2	3	4	5	6	7	8	9	10	11	30900004
20061	62	63	64	65	66	67	68	69	70	71	30900004
20121	122	123	124	125	126	127	128	129	130	131	30900004
20181	182	183	184	185	186	187	188	189	190	191	30900004
20241	242	243	244	245	246	247	248	249	250	251	30900004
20301	302	303	304	305	306	307	308	309	310	311	30900004
