INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING
78	1	0-2330		0	0	Tiêu di®t Huy«n Kích Kim Cang	Tiêu di®t Huy«n Kích Kim Cang · Thß½ng S½n và 9 tên Huy«n Kích Th¥n Tß¾ng		
79	1	0-0000	0-0030	0	0	Ðánh lén môn phái	Xu¤t hi®n ngçu nhiên · mß¶i ðÕi môn phái		
80	1	0-0030		0	0	Tiêu di®t Thiên Niên Bång Phách	Tiêu di®t Thiên Niên Bång Phách · Võ Di S½n và 9 tên Bång Yêu		
81	1	0-0045		0	0	CÕnh KÖ Trß¶ng bäo sß½ng	Ngß¶i tiªp dçn CÕnh KÛ Trß¶ng cüa các thành		
82	1	0-0130		0	0	Tiêu di®t BÕch Minh Kh·i	Tiêu di®t BÕch Minh Kh·i · Thäo Nguyên và 9 tên Minh Hß Nô		
83	1	0-0200	0-0300	0	0	Kë thù xâm lßþc	Thái H°, Tung S½n, Kính H°, Vô Lßþng S½n, Kiªm Các, Ðôn Hoàng		
84	1	0-0230		0	0	Tiêu di®t Huy«n Kích Kim Cang	Tiêu di®t Huy«n Kích Kim Cang · Thß½ng S½n và 9 tên Huy«n Kích Th¥n Tß¾ng		
85	1	0-0315		0	0	Bäo Sß½ng Tranh ÐoÕt	Ð¸nh ði¬m · Thánh Thú S½n tÕo m¾i		
86	1	0-0330		0	0	Tiêu di®t Mãng C± Ðµc Cáp Vß½ng	Tiêu di®t Mãng C± Ðµc Cáp Vß½ng · Huy«n Vû Ðäo và 9 tên Mãng C± Ðµc Cáp		
87	1	0-0400	0-0430	0	0	Ðánh lén môn phái	Xu¤t hi®n ngçu nhiên · mß¶i ðÕi môn phái		
88	1	0-0000	0-2359	0	0	ÐoÕt bäo sß ð° luy®n	Vân Phiêu Phiêu ÐÕi Lý (265,129)		Huodong_2_3
89	1	0-1915	0-2000	0	0	Bäo hµ bang phái trú ð¸a	Có th¬ tùy ý phát sinh tÕi m²i bang phái thành th¸		
90	1	0-2145	0-2215	0	0	Thiên Giáng KÏ Thú	Lâu Lan ngçu nhiên c§p nh§t		
96	1	0-0000	0-2359	0	0	Hàn Ng÷c C¯c	Tô Châu Lâm Tri«u Hùng (178,129) 		
97	1	0-0000	0-2359	0	0	ThØ Tài V§n May	Tô Châu Li­u Nguy®t H°ng (130, 230) 		
98	1	0-1130	0-1430	0	0	Lâu Lan T¥m Bäo	Lâu Lan Kim CØu Linh (162, 75) 		
99	1	0-1930	0-2200	0	0	Lâu Lan T¥m Bäo	Lâu Lan Kim CØu Linh (162, 75) 		
100	1	0-0000	0-2359	0	0	Thu th§p chæ ký	Cung Thái Vân ÐÕi Lý (170,122)		
101	1	0-1330	0-1400	0	0	Thiên Giáng KÏ Thú	Lâu Lan ngçu nhiên c§p nh§t		
102	1	0-0000	0-2359	0	0	Do Thám tin tÑc	Quan võ sñ Võ ÐÕi Uy (133, 50) 		
103	1	0-0000	0-2359	0	0	Vô Ð¸ch Phi Thiên Miêu	Huy«n Vû Ðäo BOSS tu¥n la		
104	1	0-1830	0-1930	0	0	Thiên Giáng KÏ Thú	Lâu Lan ngçu nhiên c§p nh§t		
105	0	1224-1200	1224-2359	0	0	Ð¡p ngß¶i tuyªt	LÕc Dß½ng?160?114?		Huodong_2_9
110	2	0-1900	0-2000	0	0	Chi vi®n tri«u ðình	Quan giáo trß¶ng thành th¸ bang hµi Ð°ng Phù Dung (147, 96) 		Huodong_2_14
111	0	0619-1900	0619-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
112	0	0717-1900	0717-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
113	0	0821-1900	0821-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
114	0	0918-1900	0918-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
115	0	1016-1900	1016-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
116	0	1120-1900	1120-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
117	0	1218-1900	1218-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
119	1	0-0000	0-2359	0	0	Thi¬m Ði®n C¦u	Thánh Thú S½n BOSS tu¥n la		
125	2	0-0000	0-2359	0	0	Ti«n Thª Kim Sinh	Gia Cát Kh±ng Lßþng LÕc Dß½ng (194,180)		Huodong_3_2
126	2	Mar-00	Mar-00	0	0	Tr÷ng HÕ Tr× Ma	Lß½ng ÐÕo Sî Tô Châu (186,182)		Huodong_3_3
127	2	0-0000	0-2359	0	0	Nh¤t Thiên Linh Nh¤t Nguy®n V÷ng	Lß½ng ÐÕo Sî Tô Châu (186,182)		TaskTools11_15
128	1	0-1630	0-1700	0	0	Tàng Kinh Các	Tây H°, Nhî Häi, NhÕn Nam		
129	1	0-2130	0-2200	0	0	Tàng Kinh Các	Tây H°, Nhî Häi, NhÕn Nam		
130	1	0-2300	0-2330	0	0	Tàng Kinh Các	Tây H°, Nhî Häi, NhÕn Nam		
131	2	1-0000	Jan-59	0	0	Ti«n Thª Kim Sinh	Gia Cát Kh±ng Lßþng LÕc Dß½ng (194,180)		Huodong_3_2
132	2	2-0000	Feb-59	0	0	Ti«n Thª Kim Sinh	Gia Cát Kh±ng Lßþng LÕc Dß½ng (194,180)		Huodong_3_2
133	2	3-0000	Mar-59	0	0	Ti«n Thª Kim Sinh	Gia Cát Kh±ng Lßþng LÕc Dß½ng (194,180)		Huodong_3_2
134	2	4-0000	Apr-59	0	0	Ti«n Thª Kim Sinh	Gia Cát Kh±ng Lßþng LÕc Dß½ng (194,180)		Huodong_3_2
135	2	5-0000	May-59	0	0	Ti«n Thª Kim Sinh	Gia Cát Kh±ng Lßþng LÕc Dß½ng (194,180)		Huodong_3_2
136	2	6-0000	Jun-59	0	0	Ti«n Thª Kim Sinh	Gia Cát Kh±ng Lßþng LÕc Dß½ng (194,180)		Huodong_3_2
137	2	1-0000	Jan-59	0	0	Nh¤t Thiên Linh Nh¤t Nguy®n V÷ng	Lß½ng ÐÕo Sî Tô Châu (186,182)		TaskTools11_15
138	2	2-0000	Feb-59	0	0	Nh¤t Thiên Linh Nh¤t Nguy®n V÷ng	Lß½ng ÐÕo Sî Tô Châu (186,182)		TaskTools11_15
139	2	3-0000	Mar-59	0	0	Nh¤t Thiên Linh Nh¤t Nguy®n V÷ng	Lß½ng ÐÕo Sî Tô Châu (186,182)		TaskTools11_15
140	2	4-0000	Apr-59	0	0	Nh¤t Thiên Linh Nh¤t Nguy®n V÷ng	Lß½ng ÐÕo Sî Tô Châu (186,182)		TaskTools11_15
141	2	5-0000	May-59	0	0	Nh¤t Thiên Linh Nh¤t Nguy®n V÷ng	Lß½ng ÐÕo Sî Tô Châu (186,182)		TaskTools11_15
142	2	6-0000	Jun-59	0	0	Nh¤t Thiên Linh Nh¤t Nguy®n V÷ng	Lß½ng ÐÕo Sî Tô Châu (186,182)		TaskTools11_15
145	3	W21-0200	W21-2300	0	0	Ngày tuyên truy«n kiªn thÑc an toàn	Quách Bäo Toàn LÕc Dß½ng (144,116)		Huodong_3_4
146	3	W22-0200	W22-2300	0	0	Ngày tuyên truy«n kiªn thÑc an toàn	Quách Bäo Toàn LÕc Dß½ng (144,116)		Huodong_3_4
147	3	W23-0200	W23-2300	0	0	Ngày tuyên truy«n kiªn thÑc an toàn	Quách Bäo Toàn LÕc Dß½ng (144,116)		Huodong_3_4
148	3	W24-0200	W24-2300	0	0	Ngày tuyên truy«n kiªn thÑc an toàn	Quách Bäo Toàn LÕc Dß½ng (144,116)		Huodong_3_4
149	3	W25-0200	W25-2300	0	0	Ngày tuyên truy«n kiªn thÑc an toàn	Quách Bäo Toàn LÕc Dß½ng (144,116)		Huodong_3_4
150	3	W26-0200	W26-2300	0	0	Ngày tuyên truy«n kiªn thÑc an toàn	Quách Bäo Toàn LÕc Dß½ng (144,116)		Huodong_3_4
152	1	0-0000	0-2359	0	0	Tr× Ác Thiên Kiªp Lâu	Phó Kiªp Sinh ÐÕi Lý (50,175)		
153	1	0-1300	0-1400	0	0	Phøng Hoàng Lång Mµ	Phøng Hoàng C± Thành xu¤t hi®n ngçu nhiên		
154	1	0-2230	0-2330	0	0	Phøng Hoàng Lång Mµ	Phøng Hoàng C± Thành xu¤t hi®n ngçu nhiên		
158	2	Jun-00	Jun-00	0	0	Phøng Hoàng C± Thành Tranh ÐoÕt Chiªn	Lý Dã Thúc Hà C± Tr¤n (150,152)		Huodong_3_8
163	2	Mar-00	Mar-00	0	0	Phøng Hoàng C± Thành Tranh ÐoÕt Chiªn	Lý Dã Thúc Hà C± Tr¤n (150,152)		Huodong_3_8
179	1	0-1045	0-1115	0	0	Tàng Kinh Các	Tây H°, Nhî Häi, NhÕn Nam		
192	2	0-0000	0-2359	0	0	Thiên Quan KÏ Phúc	KÏ Phúc Thiên Quan ÐÕi Lý (180,180), gØi l¶i chúc phúc		Huodong_4_7
193	2	1-0000	Jan-59	0	0	Thiên Quan KÏ Phúc	KÏ Phúc Thiên Quan ÐÕi Lý (180,180), gØi l¶i chúc phúc		Huodong_4_7
194	2	2-0000	Feb-59	0	0	Thiên Quan KÏ Phúc	KÏ Phúc Thiên Quan ÐÕi Lý (180,180), gØi l¶i chúc phúc		Huodong_4_7
195	2	3-0000	Mar-59	0	0	Thiên Quan KÏ Phúc	KÏ Phúc Thiên Quan ÐÕi Lý (180,180), gØi l¶i chúc phúc		Huodong_4_7
196	2	4-0000	Apr-59	0	0	Thiên Quan KÏ Phúc	KÏ Phúc Thiên Quan ÐÕi Lý (180,180), gØi l¶i chúc phúc		Huodong_4_7
197	2	5-0000	May-59	0	0	Thiên Quan KÏ Phúc	KÏ Phúc Thiên Quan ÐÕi Lý (180,180), gØi l¶i chúc phúc		Huodong_4_7
198	2	6-0000	Jun-59	0	0	Thiên Quan KÏ Phúc	KÏ Phúc Thiên Quan ÐÕi Lý (180,180), gØi l¶i chúc phúc		Huodong_4_7
201	0	0807-1900	0807-2400	0	0	Ngh¸ch T§p	Bän ð° xung quanh các thành Kiªm Các, Ðôn Hoàng, Tây H°, v.v		Huodong_4_8
219	0	0411-0000	0411-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
220	0	0412-0000	0412-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
221	0	0413-0000	0413-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
222	0	0414-0000	0414-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
223	0	0415-0000	0415-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
224	0	0416-0000	0416-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
225	0	0417-0000	0417-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
226	0	0418-0000	0418-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
227	0	0419-0000	0419-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
228	0	0420-0000	0420-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
229	0	0421-0000	0421-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
230	0	0422-0000	0422-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
231	0	0423-0000	0423-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
232	0	0424-0000	0424-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
233	0	0425-0000	0425-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
234	0	0426-0000	0426-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
235	0	0427-0000	0427-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
236	0	0428-0000	0428-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
237	0	0429-0000	0429-2359	0	0	Long Du Thiên HÕ	Ki«u Thanh Th¸nh LÕc Dß½ng (225,152)		CircularTaskTool12_4
238	0	0821-1900	0821-2400	0	0	Ngh¸ch T§p	Bän ð° xung quanh các thành Kiªm Các, Ðôn Hoàng, Tây H°, v.v		Huodong_4_8
239	0	0904-1900	0904-2400	0	0	Ngh¸ch T§p	Bän ð° xung quanh các thành Kiªm Các, Ðôn Hoàng, Tây H°, v.v		Huodong_4_8
312	4	0418-0000	0529-2359	0	0	T¯ Duyên T×	Tô Châu Ngøy Tam Gia (230, 152)		CircularTaskTool14_1
313	4	0715-0000	1021-2359	0	0	M÷i ngß¶i cùng nhau h¤p bánh bao	Tô Châu Bao Thª Vinh (190, 168)		CircularTaskTool14_9
314	2	0-0000	0-2359	0	0	Nhi®m Vø Thiên C½	Tô Châu Ngøy Tam Gia (230, 152)		CircularTaskTool13_8
315	2	1-0000	Jan-59	0	0	Nhi®m Vø Thiên C½	Tô Châu Ngøy Tam Gia (230, 152)		CircularTaskTool13_8
316	2	2-0000	Feb-59	0	0	Nhi®m Vø Thiên C½	Tô Châu Ngøy Tam Gia (230, 152)		CircularTaskTool13_8
317	2	3-0000	Mar-59	0	0	Nhi®m Vø Thiên C½	Tô Châu Ngøy Tam Gia (230, 152)		CircularTaskTool13_8
318	2	4-0000	Apr-59	0	0	Nhi®m Vø Thiên C½	Tô Châu Ngøy Tam Gia (230, 152)		CircularTaskTool13_8
319	2	5-0000	May-59	0	0	Nhi®m Vø Thiên C½	Tô Châu Ngøy Tam Gia (230, 152)		CircularTaskTool13_8
320	2	6-0000	Jun-59	0	0	Nhi®m Vø Thiên C½	Tô Châu Ngøy Tam Gia (230, 152)		CircularTaskTool13_8
321	0	0111-0000	0111-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
322	0	0112-0000	0112-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
323	0	0113-0000	0113-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
324	0	0114-0000	0114-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
325	0	0115-0000	0115-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
326	0	0116-0000	0116-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
327	0	0117-0000	0117-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
