INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1020106	266	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Nh¤t v÷ng h± bào	#{MIS_TAR_ADD_195}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_10}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	265	-1	-1	1	30	3011					5000	30000																											1020107
1020107	267	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Bách khä tranh lßu	#{MIS_TAR_ADD_196}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_11}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	266	-1	-1	1	24	2411					5000	30000																											1020108
1020108	268	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Phong ki«u t¸ch chiªu	#{MIS_TAR_ADD_197}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_12}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	267	-1	-1	1	18	1811					5000	30000																											1020109
1020109	269	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Phi lßu trñc hÕ	#{MIS_TAR_ADD_198}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_13}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	268	-1	-1	1	31	3111					5000	30000																											1020110
1020110	270	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Tñ thuÖ lßu niên	#{MIS_TAR_ADD_199}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_14}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	269	-1	-1	1	25	2512					5000	30000																											1020111
1020111	271	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Bích l§p thiên nh§n	#{MIS_TAR_ADD_200}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_15}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	270	-1	-1	1	19	1912					5000	30000																											1020112
1020112	272	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Yên toä nh¸ ki«u	#{MIS_TAR_ADD_201}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_16}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	271	-1	-1	1	32	3211					5000	30000																											1020113
1020113	273	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Phong loan nhß tø	#{MIS_TAR_ADD_202}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_17}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	272	-1	-1	1	26	2612					5000	30000																											1020114
1020114	274	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Lang vß½ng thÕch tr§n	#{MIS_TAR_ADD_203}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_18}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	273	-1	-1	1	20	2011					5000	30000																											1020115
1020115	275	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Mai lînh ph§t quang	#{MIS_TAR_ADD_204}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_19}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	274	-1	-1	1	33	3311					5000	30000																											1020116
1020116	276	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Thanh my nhß ð§u	#{MIS_TAR_ADD_205}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_20}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	275	-1	-1	1	27	2711					5000	30000																											1020117
1020117	277	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Ngao bao tß¾ng hµi	#{MIS_TAR_ADD_206}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_21}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	276	-1	-1	1	21	2112					5000	30000																											1020118
1020118	278	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Thiên nam nh¤t trø	#{MIS_TAR_ADD_207}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_22}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	277	-1	-1	1	34	3411					5000	30000																											1020119
1020119	279	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Thiên tÕm phi ki«u	#{MIS_TAR_ADD_208}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_23}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	278	-1	-1	1	28	2812					5000	30000																											1020120
1020120	280	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Bång h° kính bÕc	#{MIS_TAR_ADD_209}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_24}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	279	-1	-1	1	22	2211					5000	30000																											1020121
1020121	281	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Da lâm pháo ðài	#{MIS_TAR_ADD_210}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_25}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	280	-1	-1	1	35	3511					5000	30000																											1020122
1020122	282	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Hàn ng÷c ngßng hß½ng	#{MIS_TAR_ADD_211}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_26}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	281	-1	-1	1	29	2911					5000	30000																											1020123
1020123	283	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Y lan tuyªt s½n	#{MIS_TAR_ADD_212}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_27}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	282	-1	-1	1	23	2311					5000	30000																											1020124
1020124	284	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Hoa viên phi bµc	#{MIS_TAR_ADD_213}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_28}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	283	-1	-1	1	2	211					5000	30000																											1020125
1020125	285	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Kim thành thang trì	#{MIS_TAR_ADD_214}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_29}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	284	-1	-1	1	0	11					5000	30000																											1020126
1020126	286	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Phong hoä liên thành	#{MIS_TAR_ADD_215}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_30}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	285	-1	-1	1	1	111					5000	30000																											1020127
1020127	287	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Vô lßþng ng÷c bích	#{MIS_TAR_ADD_216}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_31}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	286	-1	-1	1	6	613					5000	30000																											1020128
1020128	288	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- ÐÕi mÕc phong sá	#{MIS_TAR_ADD_217}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_32}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	287	-1	-1	1	8	812					5000	30000																											1020129
1020129	289	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- HoÕ my linh trì	#{MIS_TAR_ADD_218}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_33}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	288	-1	-1	1	5	512					5000	30000																											1020130
1020130	290	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Lâu thuy«n thuÖ trÕi	#{MIS_TAR_ADD_219}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_34}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	289	-1	-1	1	4	412					5000	30000																											1020131
1020131	291	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Khúc kính thông u	#{MIS_TAR_ADD_220}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_35}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	290	-1	-1	1	3	312					5000	30000																											1020132
1020132	292	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Tam ðàm ¤n nguy®t	#{MIS_TAR_ADD_221}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_36}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	291	-1	-1	1	30	3012					5000	30000																											1020133
1020133	293	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Thª ngoÕi ðào nguyên	#{MIS_TAR_ADD_222}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_37}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	292	-1	-1	1	18	1812					5000	30000																											1020134
1020134	294	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Phong gian trß¶ng h°ng	#{MIS_TAR_ADD_223}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_38}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	293	-1	-1	1	19	1913					5000	30000																											1020135
1020135	295	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- TØ hà ti¬u trúc	#{MIS_TAR_ADD_224}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_39}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	294	-1	-1	1	32	3212					5000	30000																											1020136
1020136	296	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Phøng Hoàng Lßu S½	#{MIS_TAR_ADD_225}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_40}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	295	-1	-1	1	26	2613					5000	30000																											1020137
1020137	297	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- ThÕch c¯c tàng kinh	#{MIS_TAR_ADD_226}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_41}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	296	-1	-1	1	33	3312					5000	30000																											1020138
1020138	298	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- ThuÖ lÕc thÕch xu¤t	#{MIS_TAR_ADD_227}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_42}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	297	-1	-1	1	27	2712					5000	30000																											1020139
1020139	299	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Lâm gian thø cß	#{MIS_TAR_ADD_228}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_43}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	298	-1	-1	1	28	2813					5000	30000																											1020140
1020140	300	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Häi thiên nh¤t s¡c	#{MIS_TAR_ADD_229}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_44}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	299	-1	-1	1	35	3512					5000	30000																											1020141
1020141	301	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Dã ðµ vô nhân	#{MIS_TAR_ADD_230}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_45}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	300	-1	-1	1	29	2912					5000	30000																											1020142
1020142	302	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Bµ dao ôn tuy«n	#{MIS_TAR_ADD_231}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_46}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	301	-1	-1	1	23	2312					5000	30000																											1020143
1020143	303	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- ÐÕi Lý dân cß	#{MIS_TAR_ADD_232}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_47}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	302	-1	-1	1	2	212					5000	30000																											1020144
1020144	304	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Diêm nha cao trác	#{MIS_TAR_ADD_233}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_48}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	303	-1	-1	1	0	12					5000	30000																											1020145
1020145	305	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Vân s½n vø tráo	#{MIS_TAR_ADD_234}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_49}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	304	-1	-1	1	4	413					5000	30000																											1020146
1020146	306	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Thâm s½n thái thÕch	#{MIS_TAR_ADD_235}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_50}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	305	-1	-1	1	28	2814					5000	30000																											1020147
1020147	307	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- VÕn phu mÕc khai	#{MIS_TAR_ADD_236}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_51}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	306	-1	-1	1	35	3513					5000	30000																											1020148
1020148	308	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Th® giä nhß tß	#{MIS_TAR_ADD_237}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_52}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	307	-1	-1	1	4	414					5000	30000																											1020149
1020149	309	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- S½n thành xuân s¡c	#{MIS_TAR_ADD_238}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_53}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	308	-1	-1	1	2	213					5000	30000																											
1020150	725	56	0	1	0	48	34	Ách V§n BÕch Sa Thôn 	#{BSCDEY_20080228_07}	#{BSCDEY_20080228_08}	  #{WLS_20080311_09}	  #{WLS_20080311_10}	1	  #{WLS_20080311_12}	#{MI_ENT9525_54}	415	Dß½ng Nguyên	0	415	Dß½ng Nguyên	0	80	-1	-1	-1	1	415	1					40000	45000																											
1020151	743	57	0	1	0	172	25	Th¥n Bäo Hµ Bång Phong 	#{Mis_XYCJ_20080227_23}	#{Mis_XYCJ_20080227_24}	#{Mis_XYCJ_20080227_26}	#{Mis_XYCJ_20080227_27}	1	#{Mis_XYCJ_20080227_25}	#{MI_ENT9525_55}	188	Ninh Linh Ca	0	188	Ninh Linh Ca	0	73	-1	-1	-1	1	188	1881					46000	32000																											
