INT	STRING	INT	INT
128	 miêu cß½ng chính ðông 	614	21
129	 nhÕn nam chính nam 	615	4
130	 nhÕn b¡c chính tây 	616	5
131	 tây h° chính tây 	617	6
132	 long tuy«n chính b¡c 	618	7
133	 thß½ng s½n chính tây 	619	8
134	 nh¸ häi chính tây 	620	9
135	 thäo nguyên chính tây 	621	10
136	 liêu tây tây b¡c 	622	11
137	 vû di chính tây 	623	12
138	 mai lînh tây b¡c 	624	13
139	 thÕch lâm chính nam 	625	14
140	 ng÷c khê tây nam 	626	15
141	 trß¶ng bÕch s½n tây b¡c 	627	16
142	 hoàng long phü tây b¡c 	628	17
143	 nam häi chính b¡c 	629	18
144	 quÏnh châu chính tây 	630	19
145	 nam chiªu tây nam 	631	20
146	 miêu cß½ng chính ðông 	632	21
147	 nhÕn nam chính nam 	633	4
148	 nhÕn b¡c chính tây 	634	5
149	 tây h° chính tây 	635	6
150	 long tuy«n chính b¡c 	636	7
151	 thß½ng s½n chính tây 	637	8
152	 nh¸ häi chính tây 	638	9
153	 thäo nguyên chính tây 	639	10
154	 liêu tây tây b¡c 	640	11
155	 vû di chính tây 	641	12
156	 mai lînh tây b¡c 	642	13
157	 thÕch lâm chính nam 	643	14
158	 ng÷c khê tây nam 	644	15
159	 trß¶ng bÕch s½n tây b¡c 	645	16
160	 hoàng long phü tây b¡c 	646	17
161	 nam häi chính b¡c 	647	18
162	 quÏnh châu chính tây 	648	19
163	 nam chiªu tây nam 	649	20
164	 miêu cß½ng chính ðông 	650	21
165	 nhÕn nam chính nam 	651	4
166	 nhÕn b¡c chính tây 	652	5
167	 tây h° chính tây 	653	6
168	 long tuy«n chính b¡c 	654	7
169	 thß½ng s½n chính tây 	655	8
170	 nh¸ häi chính tây 	656	9
171	 thäo nguyên chính tây 	657	10
172	 liêu tây tây b¡c 	658	11
173	 vû di chính tây 	659	12
174	 mai lînh tây b¡c 	660	13
175	 thÕch lâm chính nam 	661	14
176	 ng÷c khê tây nam 	662	15
177	 trß¶ng bÕch s½n tây b¡c 	663	16
178	 hoàng long phü tây b¡c 	664	17
179	 nam häi chính b¡c 	665	18
180	 quÏnh châu chính tây 	666	19
181	 nam chiªu tây nam 	667	20
182	 miêu cß½ng chính ðông 	668	21
183	 nhÕn nam chính nam 	669	4
184	 nhÕn b¡c chính tây 	670	5
185	 tây h° chính tây 	671	6
186	 long tuy«n chính b¡c 	672	7
187	 thß½ng s½n chính tây 	673	8
188	 nh¸ häi chính tây 	674	9
189	 thäo nguyên chính tây 	675	10
190	 liêu tây tây b¡c 	676	11
191	 vû di chính tây 	677	12
192	 mai lînh tây b¡c 	678	13
193	 thÕch lâm chính nam 	679	14
194	 ng÷c khê tây nam 	680	15
195	 trß¶ng bÕch s½n tây b¡c 	681	16
196	 hoàng long phü tây b¡c 	682	17
197	 nam häi chính b¡c 	683	18
198	 quÏnh châu chính tây 	684	19
199	 nam chiªu tây nam 	685	20
200	 miêu cß½ng chính ðông 	686	21
201	 nhÕn nam chính nam 	687	4
202	 nhÕn b¡c chính tây 	688	5
203	 tây h° chính tây 	689	6
204	 long tuy«n chính b¡c 	690	7
205	 thß½ng s½n chính tây 	691	8
206	 nh¸ häi chính tây 	692	9
207	 thäo nguyên chính tây 	693	10
208	 liêu tây tây b¡c 	694	11
209	 vû di chính tây 	695	12
210	 mai lînh tây b¡c 	696	13
211	 thÕch lâm chính nam 	697	14
212	 ng÷c khê tây nam 	698	15
213	 trß¶ng bÕch s½n tây b¡c 	699	16
214	 hoàng long phü tây b¡c 	700	17
215	 nam häi chính b¡c 	701	18
216	 quÏnh châu chính tây 	702	19
217	 nam chiªu tây nam 	703	20
218	 miêu cß½ng chính ðông 	704	21
