INT	INT	STRING	STRING	INT	INT	INT	STRING
131	9	Bình T£c Binh SÛ	Dûng mãnh giªt gi£c, xung phong tr§n ti«n!	17	1	-1	Di®t Phän T£c ği¬m tích lûy 100 ( hÕ gøc T£c Binh Lâu La ğßşc 1 ği¬m, hÕ gøc T£c Binh Ğ¥u Møc ğßşc 5 ği¬m)
132	9	Bình T£c Ğµi Trß·ng	Cao thü giªt gi£c, không h« vø lşi!	17	2	-1	Di®t Phän T£c ği¬m tích lûy 500 ( hÕ gøc T£c Binh Lâu La ğßşc 1 ği¬m, hÕ gøc T£c Binh Ğ¥u Møc ğßşc 5 ği¬m)
133	9	Bình T£c Th¯ng Lînh	Tinh anh giªt gi£c, kh¡c tinh cüa quân gi£c!	17	3	-1	Di®t Phän T£c ği¬m tích lûy 5000 ( hÕ gøc T£c Binh Lâu La ğßşc 1 ği¬m, hÕ gøc T£c Binh Ğ¥u Møc ğßşc 5 ği¬m)
134	9	Ğãng Kh¤u Tß¾ng Quân	Tài cüa ğÕi tß¾ng, d©p yên lû gi£c!	17	4	-1	Di®t Phän T£c ği¬m tích lûy 30000 ( hÕ gøc T£c Binh Lâu La ğßşc 1 ği¬m, hÕ gøc T£c Binh Ğ¥u Møc ğßşc 5 ği¬m)
135	9	Ğãng Kh¤u Nguyên Soái	Tài cüa nguyên soái, d©p yên lû gi£c!	17	5	-1	Di®t Phän T£c ği¬m tích lûy 65000 ( hÕ gøc T£c Binh Lâu La ğßşc 1 ği¬m, hÕ gøc T£c Binh Ğ¥u Møc ğßşc 5 ği¬m)
136	10	TÖ Võ TrÕng Nguyên	Võ ngh® siêu qu¥n, coi thß¶ng thiên hÕ	18	3	168	ĞÕi hµi TÖ Võ nh§n ğßşc hÕng nh¤t
137	10	TÖ Võ Bäng Nhãn	Võ công trác tuy®t, thiên hÕ ğ® nh¸	18	2	168	ĞÕi hµi TÖ Võ nh§n ğßşc hÕng nhì
138	10	TÖ Võ Thám Hoa	Võ công trác tuy®t, thiên hÕ ğ® tam	18	1	168	ĞÕi hµi TÖ Võ nh§n ğßşc hÕng ba
139	11	TrÕng Nguyên Khoa CØ	H÷c thÑc uyên bác, trong cuµc thi khoa cØ ğè b©p qu¥n nho!	5	3	168	Khoa CØ nh§n ğßşc hÕng nh¤t
140	11	Bäng Nhãn Khoa CØ	H÷c thÑc h½n ngß¶i, trong cuµc thi khoa cØa ğã giành ğßşc v¸ trí thÑ hai!	5	2	168	Khoa CØ nh§n ğßşc hÕng nhì
141	11	Thám Hoa Khoa CØ	H÷c thÑc h½n ngß¶i, trong cuµc thi khoa cØa ğã giành ğßşc v¸ trí thÑ ba!	5	1	168	Khoa CØ nh§n ğßşc hÕng ba
142	12	Thiªu Lâm Hi®p Sî	Thiªu Lâm S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa nam ğ® tØ phái Thiªu Lâm
143	12	Khôi Y Hµ Pháp	Thiªu Lâm Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Thiªu Lâm ğÕt ğßşc 1000 ği¬m cho danh hi®u
144	12	Kim Thân La Hán	Thiªu Lâm Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Thiªu Lâm ğÕt ğßşc 2500 ği¬m cho danh hi®u
145	12	Ğ¸a TÕng B° Tát	Thiªu Lâm Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Thiªu Lâm ğÕt ğßşc 5000 ği¬m cho danh hi®u
146	12	Thiªu Lâm Hi®p Næ	Thiªu Lâm S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa næ ğ® tØ phái Thiªu Lâm
147	12	BÕch Y Th¸ Giä	Thiªu Lâm Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Thiªu Lâm ğÕt ğßşc 1000 ği¬m cho danh hi®u
148	12	Ğµ Thª Quan Âm	Thiªu Lâm Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Thiªu Lâm ğÕt ğßşc 2500 ği¬m cho danh hi®u
149	12	Già Lam B° Tát	Thiªu Lâm Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Thiªu Lâm ğÕt ğßşc 5000 ği¬m cho danh hi®u
150	12	Minh Giáo Hi®p Sî	Minh Giáo S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa nam ğ® tØ phái Minh Giáo
151	12	Th¸ Hoä Hi®p Sî	Minh Giáo Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Minh Giáo ğÕt ğßşc 1000 ği¬m cho danh hi®u
152	12	Hµ Giáo Pháp Vß½ng	Minh Giáo Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Minh Giáo ğÕt ğßşc 2500 ği¬m cho danh hi®u
153	12	Minh Giáo Th¥n SÑ	Minh Giáo Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Minh Giáo ğÕt ğßşc 5000 ği¬m cho danh hi®u
154	12	Minh Giáo Hi®p Næ	Minh Giáo S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa næ ğ® tØ phái Minh Giáo
155	12	Th¸ Hoä Hi®p Næ	Minh Giáo Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Minh Giáo ğÕt ğßşc 1000 ği¬m cho danh hi®u
156	12	Hµ Giáo Tán Nhân	Minh Giáo Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Minh Giáo ğã ğßşc 2500 ği¬m cho danh hi®u
157	12	Quang Minh Thánh Næ	Minh Giáo Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Minh Giáo ğÕt ğßşc 5000 ği¬m cho danh hi®u
158	12	Cái Bang Hi®p Sî	Cái Bang S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa nam ğ® tØ phái Cái Bang
159	12	Thanh Liên Ğ® TØ	Cái Bang Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Cái Bang ğÕt ğßşc 1000 ği¬m cho danh hi®u
160	12	Huy«n Võ Trß·ng Lão	Cái Bang Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Cái Bang ğÕt ğßşc 2500 ği¬m cho danh hi®u
161	12	Chß·ng Bang Long Ğ¥u	Cái Bang Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Cái Bang ğÕt ğßşc 5000 ği¬m cho danh hi®u
162	12	Cái Bang Hi®p Næ	Cái Bang S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa næ ğ® tØ phái Cái Bang
163	12	BÕch Liên Ğ® TØ	Cái Bang Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Cái Bang ğÕt ğßşc 1000 ği¬m cho danh hi®u
164	12	Chu Tß¾c Trß·ng Lão	Cái Bang Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Cái Bang ğÕt ğßşc 2500 ği¬m cho danh hi®u
165	12	Chß·ng Bát Long Næ	Cái Bang Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Cái Bang ğÕt ğßşc 5000 ği¬m cho danh hi®u
166	12	Võ Ğang Hi®p Sî	Võ Ğang S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa nam ğ® tØ phái Võ Ğang
167	12	Thanh Minh Cß Sî	Võ Ğang Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Võ Ğang ğÕt ğßşc 1000 ği¬m cho danh hi®u
168	12	Vô Vi Chân Nhân	Võ Ğang Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Võ Ğang ğÕt ğßşc 2500 ği¬m cho danh hi®u
169	12	Võ Ğang Thiên Tôn	Võ Ğang Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ Võ Ğang ğÕt ğßşc 5000 ği¬m cho danh hi®u
170	12	Võ Ğang Hi®p Næ	Võ Ğang S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa næ ğ® tØ phái Võ Ğang
171	12	BÕch Vân Cß Sî	Võ Ğang Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Võ Ğang ğÕt ğßşc 1000 ği¬m cho danh hi®u
172	12	Thanh T¸nh Tán Nhân	Võ Ğang Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Võ Ğang ğã ğßşc 2500 ği¬m cho danh hi®u
173	12	Võ Ğang Tiên TØ	Võ Ğang Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Võ Ğang ğÕt ğßşc 5000 ği¬m cho danh hi®u
174	12	Nga My Hi®p Sî	Nga My S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa nam ğ® tØ phái Nga Mi
175	12	Thanh Phong Cß Sî	Nga My Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Nga Mi ğã ğßşc 1000 ği¬m cho danh hi®u
176	12	Ng÷c Long Hi®p Sî	Nga My Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Nga Mi ğã ğßşc 2500 ği¬m cho danh hi®u
177	12	Nga My Tiên Nhân	Nga My Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Nga Mi ğÕt ğßşc 5000 ği¬m cho danh hi®u
178	12	Nga My Hi®p Næ	Nga My S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa næ ğ® tØ phái Nga Mi
179	12	Minh Nguy®t Cß Sî	Nga My Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Nga Mi ğÕt ğßşc 1000 ği¬m cho danh hi®u
180	12	Kim Phßşng Hi®p Næ	Nga My Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Nga Mi ğÕt ğßşc 2500 ği¬m cho danh hi®u
181	12	Nga My Tiên TØ	Nga My Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Nga Mi ğÕt ğßşc 5000 ği¬m cho danh hi®u
182	12	Tinh Túc Hi®p Sî	Tinh Túc S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa nam ğ® tØ phái Tinh Túc
183	12	Hành Ôn Lang Quân	Tinh Túc Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Tinh Túc ğÕt ğßşc 1000 ği¬m cho danh hi®u
184	12	Thúc M®nh Phán Quan	Tinh Túc Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Tinh Túc ğã ğßşc 2500 ği¬m cho danh hi®u
185	12	Ğµc Thü Y Tiên	Tinh Túc Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Tinh Túc ğã ğßşc 5000 ği¬m cho danh hi®u
186	12	Tinh Túc Hi®p Næ	Tinh Túc S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa næ ğ® tØ phái Tinh Túc
187	12	Hành ‘n Nß½ng TØ	Tinh Túc Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Tinh Túc ğã ğßşc 1000 ği¬m cho danh hi®u
188	12	ĞoÕt M®nh DÕ Xoa	Tinh Túc Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Tinh Túc ğÕt ğßşc 2500 ği¬m cho danh hi®u
189	12	Ğµc Thü Dßşc Vß½ng	Tinh Túc Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Tinh Túc ğÕt ğßşc 5000 ği¬m cho danh hi®u
190	12	Thiên Long Hi®p Sî	Thiên Long S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa nam ğ® tØ phái Thiên Long
191	12	Tàng Kinh Hi®p Sî	Thiên Long Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Thiên Long ğÕt ğßşc 1000 ği¬m cho danh hi®u
192	12	Sùng Thánh Thiên Sß	Thiên Long Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Thiên Long ğã ğßşc 2500 ği¬m cho danh hi®u
193	12	Thiên Nam Long Vß½ng	Thiên Long Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa nam ğ® tØ phái Thiên Long ğã ğßşc 5000 ği¬m cho danh hi®u
194	12	Thiên Long Hi®p Næ	Thiên Long S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa næ ğ® tØ phái Thiên Long
195	12	Tàng Kinh Hi®p Næ	Thiên Long Trung C¤p Ğ® TØ	21	2	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Thiên Long ğÕt ğßşc 1000 ği¬m cho danh hi®u
196	12	Sùng Thánh Thiên Næ	Thiên Long Cao C¤p Ğ® TØ	21	3	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Thiên Long ğÕt ğßşc 2500 ği¬m cho danh hi®u
197	12	Thiên Nam Long Næ	Thiên Long Tinh Thâm Ğ® TØ	21	4	-1	Ğµ c¯ng hiªn sß môn cüa næ ğ® tØ phái Thiên Long ğÕt ğßşc 5000 ği¬m cho danh hi®u
198	12	Thiên S½n Hi®p Sî	Thiên S½n S½ c¤p Ğ® TØ	21	1	-1	Sñ tñ nh§n danh hi®u cüa nam ğ® tØ phái Thiên S½n
