INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
9	0	1	10	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	95
10	0	1	42	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	95
11	0	1	74	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	95
12	0	1	20	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	95
13	0	1	52	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	95
14	0	1	84	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	95
15	0	1	52	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
16	0	1	60	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
17	0	1	68	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
18	0	1	76	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
19	0	1	84	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
20	0	1	40	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	840	1	Ðánh lén môn phái	95
21	0	1	48	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	720	1	Ðánh lén môn phái	95
22	0	2	658	1	808003	0	0	0	0	0	0	4	10	#{BWDH_20080317_01}	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 40 ÐÕi Tháo giªt Chu Løc	695
23	0	2	358	1	808003	0	0	0	0	0	0	4	10	#{BWDH_20080317_01}	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 40 ÐÕi Tháo giªt Chu Tam	395
24	0	2	59	1	808000	0	0	0	0	0	0	4	5	#{HSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{HSLJ_20080317_03}	75	-1	-1	-1	-1	Lu§n Kiªm Hoa S½n chü nh§t hàng tu¥n	95
25	0	2	475	1	808000	0	0	0	0	0	0	4	5	#{XHSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{XHSLJ_20080317_02}	75	-1	-1	-1	-1	Lu§n Kiªm Hoa S½n thÑ 5 hàng tu¥n	495
26	0	1	64	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	480	1	Ðánh lén môn phái	95
27	0	1	80	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	240	1	Ðánh lén môn phái	95
28	0	1	88	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	120	1	Ðánh lén môn phái	95
29	0	1	0	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1440	1	Ðánh lén môn phái	95
30	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 40 ÐÕi Tháo giªt Chu Løc	695
31	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 50 ÐÕi Tháo giªt Chu Tam	395
32	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 60 ÐÕi Tháo giªt Chu Løc	695
33	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 60 ÐÕi Tháo giªt Chu Tam	395
34	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 70 ÐÕi Tháo giªt Chu Løc	695
35	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 70 ÐÕi Tháo giªt Chu Tam	395
36	0	1	74	5	808037	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Linh dßþc hoÕt ðµng	95
37	1	2	1	0	808000	88	0	0	0	0	0	4	30	#{CYR_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngày tªt Tào V§n	95
38	1	2	600	0	808000	88	0	0	0	0	0	4	30	#{SRR_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngày Thß½ng Nhân	694
39	0	1	8	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Kë thù xâm lßþc	95
40	0	1	16	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1200	1	Ðánh lén môn phái	95
41	0	1	40	0	808000	0	0	0	0	0	0	4	30	#{XQJ_20080317_01}	80	3	#{QJ_20080317_02}	90	30	#{QJ_20080317_03}	200	3	#{XQJ_20080317_02}	209	1	#{QJ_20080317_05}	210	0	KÏ cuµc	95
42	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 80 ÐÕi Tháo giªt Chu Løc	695
43	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 80 ÐÕi Tháo giªt Chu Tam	395
44	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 90 ÐÕi Tháo giªt Chu Løc	695
45	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Nhóm c¤p 90 ÐÕi Tháo giªt Chu Tam	395
46	0	2	275	1	808000	0	0	0	0	0	0	4	5	#{XHSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{XHSLJ_20080317_02}	75	-1	-1	-1	-1	Lu§n Kiªm Hoa S½n thÑ 3 hàng tu¥n	295
47	0	2	628	1	808000	0	0	0	0	0	0	4	30	#{JHJF_20080317_01}	350	3	#{JHJF_20080317_02}	360	5	#{JHJF_20080317_03}	370	120	#{JHJF_20080317_04}	899	1	#{JHJF_20080317_05}	900	-1	Kính H° Th± Phï	695
48	1	2	36	0	808000	59	0	0	0	0	0	4	30	#{BGZ_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Lînh lß½ng bang phái	95
49	0	1	56	158	402100	0	0	0	0	0	0	4	4	#{YZW_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	600	-1	HoÕt ðµng Thánh Thú S½n ðã b¡t ð¥u	95
50	0	1	86	158	402100	0	0	0	0	0	0	4	4	#{YZW_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	150	-1	HoÕt ðµng Thánh Thú S½n ðã kªt thúc	95
51	0	1	59	158	402103	0	0	0	0	0	0	4	4	#{YZW_20080317_02}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	555	-1	Sñ ki®n sñ tháo chÕy cüa Dã trß ðã b¡t ð¥u	95
52	0	1	89	158	402103	0	0	0	0	0	0	4	4	#{YZW_20080317_02}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	105	-1	Sñ ki®n sñ tháo chÕy cüa Dã trß ðã kªt thúc	95
53	1	2	676	0	402042	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng túc c¥u thông báo	695
54	1	2	12	0	402043	75	0	0	0	0	0	4	120	#cff99ccTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #cff99ccs¨ chính thÑc khai mÕc ! Mong các v¸ anh hùng, ðÕi hi®p hãy chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công !	840	60	#cff99ccTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #cff99ccs¨ chính thÑc khai mÕc ! Mong các v¸ anh hùng, ðÕi hi®p hãy chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc ð¬ tham gia sñ ki®n ðÕt ðßþc thành công !	960	30	#PSñ ki®n ðÕi hµi C¥u Mây ðã b¡t ð¥u ! Mong b¢ng hæu hãy ðªn #Gthành LÕc Dß½ng Ðoan Vß½ng Phü [204,57]#Ptìm #YÐ°ng Quán #PðÕi nhân, #GÐÕi Lý [282,84] #YHÕ Thanh Thanh#P, #GTô Châu [187,147] #YVu Thiên Thiên #Ptham gia sñ ki®n !	1140	30	#PTr§n ð¤u C¥u Mây s¨ ðßþc kªt thúc vào lúc #Y23:00 #Pngày hôm nay, mong các v¸ anh hùng mau mau kªt thúc tr§n ð¤u !	1200	5	#PTr§n ð¤u C¥u May hôm nay ðªn ðây kªt thúc, mong các anh hùng hãy ðón xem tr§n ð¤u kª tiªp trong tháng sau, cám ½n! 	1205	-1	Thông báo hoÕt ðµng túc c¥u cüa chü nh§t này	95
55	0	1	2	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Nga My	95
56	0	1	42	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Nga My	95
57	0	1	62	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Nga My	95
58	0	1	79	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Nga My	95
59	0	1	6	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Thäo Nguyên	95
60	0	1	54	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Thäo Nguyên	95
61	0	1	74	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Thäo Nguyên	95
62	0	1	90	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Thäo Nguyên	95
63	0	1	10	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Kim Cß½ng	95
64	0	1	46	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Kim Cß½ng	95
65	0	1	72	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Kim Cß½ng	95
66	0	1	94	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Kim Cß½ng	95
67	0	1	14	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Ðµc Cáp	95
68	0	1	50	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Ðµc Cáp	95
69	0	1	78	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Ðµc Cáp	95
70	0	1	86	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðàn BOSS Ðµc Cáp	95
71	0	1	13	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n cäi tiªn bäo sß½ng 	95
72	0	1	41	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n cäi tiªn bäo sß½ng 	95
73	0	1	53	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n cäi tiªn bäo sß½ng 	95
74	0	1	73	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n cäi tiªn bäo sß½ng 	95
75	0	1	94	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thánh Thú S½n cäi tiªn bäo sß½ng 	95
76	1	1	0	39	808068	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1440	-1	Quái v§t tu¥n tra tÕi Huy«n Vû Ðäo	95
77	0	1	41	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
78	0	1	49	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
79	0	1	65	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
80	0	1	77	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
81	0	1	85	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
82	0	1	93	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân thú c± mµ	95
83	1	1	0	0	50024	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng ðêm giáng sinh 08_Tuyªt r½i	95
84	1	0	35748	0	50023	346	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng ðêm giáng sinh 08_Ð¡p Ngß¶i tuyªt	36110
85	1	0	35800	0	808000	88	0	0	0	0	0	4	40	#{SDJ_20080317_01}	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng ðêm giáng sinh 08_Nh§n quà noel	35809
86	0	1	3	1	808000	0	0	0	0	0	0	4	240	#{KHS_20080317_01}	1425	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ThØ Tài V§n May	95
87	0	1	44	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Boss Long Quy	95
88	0	1	63	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Boss Long Quy	95
89	0	1	78	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Boss Long Quy	95
90	0	1	92	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Boss Long Quy	95
91	1	0	2141	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_01}	599	80	#{BCW_20080317_01}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	2188
92	1	0	2241	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	2288
93	1	0	2341	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	2388
94	1	0	2441	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	2488
95	1	0	2541	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	2588
96	1	0	2641	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	2688
97	1	0	2741	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_06}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	2788
98	1	0	2841	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_06}	690	-1	-1	-1	-1	Ðêm xuân liên hoan hµi	2888
99	0	1	85	0	50030	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	07BOSS ðêm hµi	95
100	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 7 cho ðµi c¤p 100	695
101	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 4 cho ðµi c¤p 100	395
102	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 7 cho ðµi c¤p 110	695
103	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 4 cho ðµi c¤p 110	395
104	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	Bäo hµ bang phái	95
105	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	Bäo hµ bang phái	95
106	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_01}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo sß ð° luyªn	95
107	1	1	5	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_02}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo sß ð° luyªn	95
108	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_03}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo sß ð° luyªn	95
109	1	1	0	420	808040	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trang b¸ cñc ph¦m	95
110	0	1	2	420	820001	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	95
111	0	1	66	0	808000	0	0	0	0	0	0	4	30	#PSñ ki®n #GLâu Lan T¥m Bäo#P s¨ b¡t ð¥u vào lúc #G19:30#P. Ngß¶i ch½i ðÕt ðªn #Gc¤p 75#P và tâm pháp ðÕt ðªn #Gc¤p 40#P, chï c¥n t± ðµi #G>=3 ngß¶i#P ðªn #GLâu Lan Kim CØu Linh (162,75)#P ð¬ tham gia. 	170	5	#GLâu Lan T¥m Bäo#P s¨ b¡t ð¥u vào lúc #G19:30#P, hãy ðªn #GLâu Lan (162,75)#P tìm #GKim CØu Linh#P báo danh là có th¬ tham gia. Ngß¶i ch½i ðÕt ðªn #Gc¤p 75#P và tâm pháp ðÕt ðªn #Gc¤p 40#P, chï c¥n t± ðµi #G>=3 ngß¶i#P thì có th¬ tham gia. 	180	20	#GLâu Lan T¥m Bäo#P ðã b¡t ð¥u, hãy ðªn #GLâu Lan (162,75)#P tìm #GKim CØu Linh#P báo danh thì có th¬ tham gia. 	320	5	#PSñ ki®n #GLâu Lan T¥m Bäo#P ngày hôm nay s¨ kªt thúc vào lúc #G22:00#P, m÷i ngß¶i hãy kh¦n trß½ng nào! 	329	1	#PSñ ki®n #GLâu Lan T¥m Bäo#P ngày hôm nay s¨ kªt thúc vào lúc #G22:00#P, cäm ½n m÷i ngß¶i tham gia. H©n g£p m÷i ngß¶i vào ngày mai !	330	-1	Lâu Lan T¥m Bäo	95
112	0	1	87	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	95
113	0	1	87	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	89
114	0	1	54	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	95
115	0	1	54	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	56
