INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT
24	0	Å®Ö÷½ÇÁ³80.mesh	Thanh Thoát	Å®Ö÷½ÇÁ³80	30008020	1	2	Cloth8_8	50000
25	0	Å®Ö÷½ÇÁ³81.mesh	Nång Ðµng	Å®Ö÷½ÇÁ³81	30008020	1	2	Cloth8_8	50000
26	0	Å®Ö÷½ÇÁ³82.mesh	Tao Nhã	Å®Ö÷½ÇÁ³82	30008020	1	2	Cloth8_8	50000
27	0	Å®Ö÷½ÇÁ³84.mesh	Ngân Mâu Hình	Å®Ö÷½ÇÁ³84	30008020	1	2	Cloth8_8	50000
28	0	Å®Ö÷½ÇÁ³86.mesh	Lçm Nhân	Å®Ö÷½ÇÁ³86	30008020	1	2	Cloth8_8	50000
29	0	Å®Ö÷½ÇÁ³89.mesh	Nhàn Tình	Å®Ö÷½ÇÁ³89	30008020	1	2	Cloth8_8	50000
30	0	Å®Ö÷½ÇÁ³85.mesh	Lam Mâu	Å®Ö÷½ÇÁ³85	30008020	1	2	Cloth8_8	50000
31	0	Å®Ö÷½ÇÁ³91.mesh	Nhî Nhã	Å®Ö÷½ÇÁ³91	30008020	1	2	Cloth8_8	50000
32	0	Å®Ö÷½ÇÁ³92.mesh	Yêu Dã	Å®Ö÷½ÇÁ³92	30008020	1	2	Cloth8_8	50000
33	0	Å®Ö÷½ÇÁ³93.mesh	Nhã V÷ng	Å®Ö÷½ÇÁ³93	30008020	1	2	Cloth8_8	50000
34	0	Å®Ö÷½ÇÁ³95.mesh	Nho Hi®p	Å®Ö÷½ÇÁ³95	30008020	1	2	Cloth8_8	50000
35	0	Å®Ö÷½ÇÁ³99.mesh	Tr¥m Úc	Å®Ö÷½ÇÁ³99	30008020	1	2	Cloth8_8	50000
36	0	Å®Ö÷½ÇÁ³101.mesh	D§t Tr¥n	Å®Ö÷½ÇÁ³101	30008020	1	2	Cloth8_8	50000
37	0	Å®Ö÷½ÇÁ³102.mesh	Mê Mâu	Å®Ö÷½ÇÁ³102	30008020	1	2	Cloth8_8	50000
38	0	Å®Ö÷½ÇÁ³ÏÉ·ç.mesh	Tiên Phong	Å®Ö÷½ÇÁ³ÏÉ·ç	30008020	1	2	Cloth8_8	50000
100	1	ÄÐÖ÷½ÇÁ³01.mesh	Kiên cß¶ng	ÄÐÖ÷½ÇÁ³01	30008020	1	3	Cloth8_8	50000
101	1	ÄÐÖ÷½ÇÁ³02.mesh	Dûng cäm	ÄÐÖ÷½ÇÁ³02	30008020	1	3	Cloth8_8	50000
102	1	ÄÐÖ÷½ÇÁ³03.mesh	Quyªt ðoán	ÄÐÖ÷½ÇÁ³03	30008020	1	3	Cloth8_8	50000
103	1	ÄÐÖ÷½ÇÁ³04.mesh	Tñ tin	ÄÐÖ÷½ÇÁ³04	30008020	1	3	Cloth8_8	50000
104	1	ÄÐÖ÷½ÇÁ³05.mesh	Nghiêm ngh¸	ÄÐÖ÷½ÇÁ³05	30008020	1	3	Cloth8_8	50000
105	1	ÄÐÖ÷½ÇÁ³06.mesh	Mê Ho£c Hình	ÄÐÖ÷½ÇÁ³06	30008020	1	2	Cloth8_8	50000
106	1	ÄÐÖ÷½ÇÁ³07.mesh	Di®n Ph±	ÄÐÖ÷½ÇÁ³07	30008020	1	0	Cloth8_8	50000
107	1	ÄÐÖ÷½ÇÁ³08.mesh	Thß½ng Tang Hình	ÄÐÖ÷½ÇÁ³08	30008020	1	2	Cloth8_8	50000
108	1	ÄÐÖ÷½ÇÁ³09.mesh	Mông Lung Hình	ÄÐÖ÷½ÇÁ³09	30008020	1	2	Cloth8_8	50000
109	1	ÄÐÖ÷½ÇÁ³10.mesh	Cu°ng Dã Hình	ÄÐÖ÷½ÇÁ³10	30008020	1	0	Cloth8_8	50000
110	1	ÄÐÖ÷½ÇÁ³11.mesh	Th¸ NgÕo Hình	ÄÐÖ÷½ÇÁ³11	30008020	1	2	Cloth8_8	50000
111	1	ÄÐÖ÷½ÇÁ³14.mesh	Thâm Thúy Hình	ÄÐÖ÷½ÇÁ³14	30008020	1	2	Cloth8_8	50000
112	1	ÄÐÖ÷½ÇÁ³12.mesh	Linh MÜ Hình	ÄÐÖ÷½ÇÁ³12	30008020	1	2	Cloth8_8	50000
113	1	ÄÐÖ÷½ÇÁ³18.mesh	Thanh Nhã Hình	ÄÐÖ÷½ÇÁ³18	30008020	1	1	Cloth8_8	50000
114	1	ÄÐÖ÷½ÇÁ³25.mesh	Phong Tr¥n Hình	ÄÐÖ÷½ÇÁ³25	30008020	1	2	Cloth8_8	50000
115	1	ÄÐÖ÷½ÇÁ³27.mesh	Khuynh Vân Hình	ÄÐÖ÷½ÇÁ³27	30008020	1	0	Cloth8_8	50000
116	1	ÄÐÖ÷½ÇÁ³26.mesh	Hình linh ðµng	ÄÐÖ÷½ÇÁ³26	30008020	1	0	Cloth8_8	50000
117	1	ÄÐÖ÷½ÇÁ³29.mesh	Ki¬u Lông Mày	ÄÐÖ÷½ÇÁ³29	30008020	1	0	Cloth8_8	50000
118	1	ÄÐÖ÷½ÇÁ³×ÔÐÅ120312_1.mesh	Phong D§t Hình	ÄÐÖ÷½ÇÁ³×ÔÐÅ120312_1	30008020	1	2	Cloth8_8	50000
119	1	ÄÐÖ÷½ÇÁ³31.mesh	Kiêu Sa	ÄÐÖ÷½ÇÁ³31	30008020	1	2	Cloth8_8	50000
120	1	ÄÐÖ÷½ÇÁ³34.mesh	C± Ði¬n	ÄÐÖ÷½ÇÁ³34	30008020	1	2	Cloth8_8	50000
121	1	ÄÐÖ÷½ÇÁ³37.mesh	Quyªn Rû	ÄÐÖ÷½ÇÁ³37	30008020	1	2	Cloth8_8	50000
122	1	ÄÐÖ÷½ÇÁ³39.mesh	Mi Änh Hình	ÄÐÖ÷½ÇÁ³39	30008020	1	2	Cloth8_8	50000
123	1	ÄÐÖ÷½ÇÁ³80.mesh	Thanh Thoát	ÄÐÖ÷½ÇÁ³80	30008020	1	2	Cloth8_8	50000
124	1	ÄÐÖ÷½ÇÁ³81.mesh	Nång Ðµng	ÄÐÖ÷½ÇÁ³81	30008020	1	2	Cloth8_8	50000
125	1	ÄÐÖ÷½ÇÁ³82.mesh	Tao Nhã	ÄÐÖ÷½ÇÁ³82	30008020	1	2	Cloth8_8	50000
126	1	ÄÐÖ÷½ÇÁ³84.mesh	Ngân Mâu Hình	ÄÐÖ÷½ÇÁ³84	30008020	1	2	Cloth8_8	50000
127	1	ÄÐÖ÷½ÇÁ³86.mesh	Lçm Nhân	ÄÐÖ÷½ÇÁ³86	30008020	1	2	Cloth8_8	50000
128	1	ÄÐÖ÷½ÇÁ³89.mesh	Nhàn Tình	ÄÐÖ÷½ÇÁ³89	30008020	1	2	Cloth8_8	50000
129	1	ÄÐÖ÷½ÇÁ³85.mesh	Lam Mâu	ÄÐÖ÷½ÇÁ³85	30008020	1	2	Cloth8_8	50000
130	1	ÄÐÖ÷½ÇÁ³91.mesh	Nhî Nhã	ÄÐÖ÷½ÇÁ³91	30008020	1	2	Cloth8_8	50000
131	1	ÄÐÖ÷½ÇÁ³92.mesh	Yêu Dã	ÄÐÖ÷½ÇÁ³92	30008020	1	2	Cloth8_8	50000
132	1	ÄÐÖ÷½ÇÁ³93.mesh	Nhã V÷ng	ÄÐÖ÷½ÇÁ³93	30008020	1	2	Cloth8_8	50000
133	1	ÄÐÖ÷½ÇÁ³95.mesh	Nho Hi®p	ÄÐÖ÷½ÇÁ³95	30008020	1	2	Cloth8_8	50000
134	1	ÄÐÖ÷½ÇÁ³99.mesh	Tr¥m Úc	ÄÐÖ÷½ÇÁ³99	30008020	1	2	Cloth8_8	50000
135	1	ÄÐÖ÷½ÇÁ³101.mesh	D§t Tr¥n	ÄÐÖ÷½ÇÁ³101	30008020	1	2	Cloth8_8	50000
136	1	ÄÐÖ÷½ÇÁ³102.mesh	Mê Mâu	ÄÐÖ÷½ÇÁ³102	30008020	1	2	Cloth8_8	50000
137	1	ÄÐÖ÷½ÇÁ³ÏÉ·ç.mesh	Tiên Phong	ÄÐÖ÷½ÇÁ³ÏÉ·ç	30008020	1	2	Cloth8_8	50000
138	1	ÄÐÖ÷½ÇÁ³100.mesh	Thi«u Dung	ÄÐÖ÷½ÇÁ³100	30008020	1	2	Cloth8_8	50000	39
139	1	ÄÐÖ÷½ÇÁ³105.mesh	Ði¬m Tú	ÄÐÖ÷½ÇÁ³105	30008020	1	2	Cloth8_8	50000	40
140	1	ÄÐÖ÷½ÇÁ³106.mesh	Nhã Tøng	ÄÐÖ÷½ÇÁ³106	30008020	1	2	Cloth8_8	50000	41
10001	0	Å®Ö÷½ÇÁ³¸ßÄ£01.mesh	Xinh ð©p	Å®Ö÷½ÇÁ³¸ßÄ£01	30008020	1	-1	Cloth8_8	50000
10002	0	Å®Ö÷½ÇÁ³¸ßÄ£02.mesh	Trí tu®	Å®Ö÷½ÇÁ³¸ßÄ£02	30008020	1	-1	Cloth8_8	50000
10003	0	Å®Ö÷½ÇÁ³¸ßÄ£03.mesh	Vui vë	Å®Ö÷½ÇÁ³¸ßÄ£03	30008020	1	-1	Cloth8_8	50000
10004	0	Å®Ö÷½ÇÁ³¸ßÄ£04.mesh	Cao quý	Å®Ö÷½ÇÁ³¸ßÄ£04	30008020	1	-1	Cloth8_8	50000
10005	0	Å®Ö÷½ÇÁ³¸ßÄ£05.mesh	Thøc næ	Å®Ö÷½ÇÁ³¸ßÄ£05	30008020	1	-1	Cloth8_8	50000
10100	1	ÄÐÖ÷½Ç¸ßÄ£Á³05.mesh	Kiên cß¶ng	ÄÐÖ÷½Ç¸ßÄ£Á³05	30008020	1	-1	Cloth8_8	50000
10101	1	ÄÐÖ÷½Ç¸ßÄ£Á³04.mesh	Dûng cäm	ÄÐÖ÷½Ç¸ßÄ£Á³04	30008020	1	-1	Cloth8_8	50000
10102	1	ÄÐÖ÷½Ç¸ßÄ£Á³03.mesh	Quyªt ðoán	ÄÐÖ÷½Ç¸ßÄ£Á³03	30008020	1	-1	Cloth8_8	50000
10103	1	ÄÐÖ÷½Ç¸ßÄ£Á³02.mesh	Tñ tin	ÄÐÖ÷½Ç¸ßÄ£Á³02	30008020	1	-1	Cloth8_8	50000
10104	1	ÄÐÖ÷½Ç¸ßÄ£Á³06.mesh	Nghiêm ngh¸	ÄÐÖ÷½Ç¸ßÄ£Á³06	30008020	1	-1	Cloth8_8	50000
