INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
2563	Chúc Dçn Thß½ng Minh Biªn D¸	256	45	9	1	0	1	10	692	350000	-1	-1	712	900000	658	300000	668	150000	718	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1018	1781	890	763	1018	948	1042	1090	1232	1422	100	350	300	150	100	1	2560
2569	Chúc Dçn Thß½ng Minh Bäo Bäo	256	45	9	0	1	1	10	692	350000	-1	-1	712	900000	658	300000	668	150000	718	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	783	1370	685	587	783	948	1042	1090	1232	1422	100	350	300	150	100	1	2560
2570	Chúc Dçn Thß½ng Minh Trß·ng Thành	257	55	9	0	0	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	816	1428	714	612	816	1051	1156	1208	1366	1576	100	350	300	150	100	1	2570
2571	Chúc Dçn Thß½ng Minh Biªn D¸	257	55	9	1	0	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	877	1535	767	657	877	1051	1156	1208	1366	1576	100	350	300	150	100	1	2570
2572	Chúc Dçn Thß½ng Minh Biªn D¸	257	55	9	1	0	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	938	1642	821	703	938	1051	1156	1208	1366	1576	100	350	300	150	100	1	2570
2573	Chúc Dçn Thß½ng Minh Biªn D¸	257	55	9	1	0	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	999	1749	874	749	999	1051	1156	1208	1366	1576	100	350	300	150	100	1	2570
2574	Chúc Dçn Thß½ng Minh Biªn D¸	257	55	9	1	0	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1060	1856	928	795	1060	1051	1156	1208	1366	1576	100	350	300	150	100	1	2570
2579	Chúc Dçn Thß½ng Minh Bäo Bäo	257	55	9	0	1	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	816	1428	714	612	816	1051	1156	1208	1366	1576	100	350	300	150	100	1	2570
2580	Chúc Dçn Thß½ng Minh Trß·ng Thành	258	65	9	0	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	848	1485	742	636	848	1153	1268	1325	1498	1729	100	350	300	150	100	1	2580
2581	Chúc Dçn Thß½ng Minh Biªn D¸	258	65	9	1	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	899	1574	787	674	899	1153	1268	1325	1498	1729	100	350	300	150	100	1	2580
2582	Chúc Dçn Thß½ng Minh Biªn D¸	258	65	9	1	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	950	1663	831	712	950	1153	1268	1325	1498	1729	100	350	300	150	100	1	2580
2583	Chúc Dçn Thß½ng Minh Biªn D¸	258	65	9	1	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1001	1752	876	751	1001	1153	1268	1325	1498	1729	100	350	300	150	100	1	2580
2584	Chúc Dçn Thß½ng Minh Biªn D¸	258	65	9	1	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1052	1841	920	789	1052	1153	1268	1325	1498	1729	100	350	300	150	100	1	2580
2585	Chúc Dçn Thß½ng Minh Biªn D¸	258	65	9	1	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1103	1931	965	827	1103	1153	1268	1325	1498	1729	100	350	300	150	100	1	2580
2589	Chúc Dçn Thß½ng Minh Bäo Bäo	258	65	9	0	1	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	848	1485	742	636	848	1153	1268	1325	1498	1729	100	350	300	150	100	1	2580
2590	Chúc Dçn Thß½ng Minh Trß·ng Thành	259	75	9	0	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	881	1542	771	661	881	1255	1380	1443	1631	1882	100	350	300	150	100	1	2590
2591	Chúc Dçn Thß½ng Minh Biªn D¸	259	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	925	1619	809	694	925	1255	1380	1443	1631	1882	100	350	300	150	100	1	2590
2592	Chúc Dçn Thß½ng Minh Biªn D¸	259	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	969	1697	848	727	969	1255	1380	1443	1631	1882	100	350	300	150	100	1	2590
2593	Chúc Dçn Thß½ng Minh Biªn D¸	259	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1013	1774	887	760	1013	1255	1380	1443	1631	1882	100	350	300	150	100	1	2590
2594	Chúc Dçn Thß½ng Minh Biªn D¸	259	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1057	1851	925	793	1057	1255	1380	1443	1631	1882	100	350	300	150	100	1	2590
2595	Chúc Dçn Thß½ng Minh Biªn D¸	259	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1102	1928	964	826	1102	1255	1380	1443	1631	1882	100	350	300	150	100	1	2590
2596	Chúc Dçn Thß½ng Minh Biªn D¸	259	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1146	2005	1002	859	1146	1255	1380	1443	1631	1882	100	350	300	150	100	1	2590
2599	Chúc Dçn Thß½ng Minh Bäo Bäo	259	75	9	0	1	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	881	1542	771	661	881	1255	1380	1443	1631	1882	100	350	300	150	100	1	2590
2600	Chúc Dçn Thß½ng Minh Trß·ng Thành	260	85	9	0	0	1	10	692	550000	-1	-1	712	900000	658	500000	668	350000	718	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	913	1598	799	685	913	1357	1492	1560	1764	2035	100	350	300	150	100	1	2600
2601	Chúc Dçn Thß½ng Minh Biªn D¸	260	85	9	1	0	1	10	692	550000	-1	-1	712	900000	658	500000	668	350000	718	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	952	1667	833	714	952	1357	1492	1560	1764	2035	100	350	300	150	100	1	2600
2602	Chúc Dçn Thß½ng Minh Biªn D¸	260	85	9	1	0	1	10	692	550000	-1	-1	712	900000	658	500000	668	350000	718	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	991	1735	867	743	991	1357	1492	1560	1764	2035	100	350	300	150	100	1	2600
2603	Chúc Dçn Thß½ng Minh Biªn D¸	260	85	9	1	0	1	10	692	550000	-1	-1	712	900000	658	500000	668	350000	718	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1031	1804	902	773	1031	1357	1492	1560	1764	2035	100	350	300	150	100	1	2600
2604	Chúc Dçn Thß½ng Minh Biªn D¸	260	85	9	1	0	1	10	692	550000	-1	-1	712	900000	658	500000	668	350000	718	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1070	1872	936	802	1070	1357	1492	1560	1764	2035	100	350	300	150	100	1	2600
2605	Chúc Dçn Thß½ng Minh Biªn D¸	260	85	9	1	0	1	10	692	550000	-1	-1	712	900000	658	500000	668	350000	718	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1109	1941	970	832	1109	1357	1492	1560	1764	2035	100	350	300	150	100	1	2600
2606	Chúc Dçn Thß½ng Minh Biªn D¸	260	85	9	1	0	1	10	692	550000	-1	-1	712	900000	658	500000	668	350000	718	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1148	2009	1004	861	1148	1357	1492	1560	1764	2035	100	350	300	150	100	1	2600
2607	Chúc Dçn Thß½ng Minh Biªn D¸	260	85	9	1	0	1	10	692	550000	-1	-1	712	900000	658	500000	668	350000	718	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1187	2078	1039	890	1187	1357	1492	1560	1764	2035	100	350	300	150	100	1	2600
2609	Chúc Dçn Thß½ng Minh Bäo Bäo	260	85	9	0	1	1	10	692	550000	-1	-1	712	900000	658	500000	668	350000	718	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	15000	15000	15000	15000	15000	1357	1492	1560	1764	2035	100	350	300	150	100	1	2600
2610	Chúc Dçn Thß½ng Minh Trß·ng Thành	261	95	9	0	0	1	10	692	600000	-1	-1	712	900000	658	550000	668	400000	718	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	15000	15000	15000	15000	15000	1459	1604	1677	1896	2388	100	350	300	150	100	1	2610
2611	Chúc Dçn Thß½ng Minh Biªn D¸	261	95	9	1	0	1	10	692	600000	-1	-1	712	900000	658	550000	668	400000	718	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	16000	16000	16000	16000	16000	1459	1604	1677	1896	2388	100	350	300	150	100	1	2610
2612	Chúc Dçn Thß½ng Minh Biªn D¸	261	95	9	1	0	1	10	692	600000	-1	-1	712	900000	658	550000	668	400000	718	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	17000	17000	17000	17000	17000	1459	1604	1677	1896	2388	100	350	300	150	100	1	2610
2613	Chúc Dçn Thß½ng Minh Biªn D¸	261	95	9	1	0	1	10	692	600000	-1	-1	712	900000	658	550000	668	400000	718	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	18000	18000	18000	18000	18000	1459	1604	1677	1896	2388	100	350	300	150	100	1	2610
2614	Chúc Dçn Thß½ng Minh Biªn D¸	261	95	9	1	0	1	10	692	600000	-1	-1	712	900000	658	550000	668	400000	718	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	19000	19000	19000	19000	19000	1459	1604	1677	1896	2388	100	350	300	150	100	1	2610
2615	Chúc Dçn Thß½ng Minh Biªn D¸	261	95	9	1	0	1	10	692	600000	-1	-1	712	900000	658	550000	668	400000	718	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	20000	20000	20000	20000	20000	1459	1604	1677	1896	2388	100	350	300	150	100	1	2610
2616	Chúc Dçn Thß½ng Minh Biªn D¸	261	95	9	1	0	1	10	692	600000	-1	-1	712	900000	658	550000	668	400000	718	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	21000	21000	21000	21000	21000	1459	1604	1677	1896	2388	100	350	300	150	100	1	2610
2617	Chúc Dçn Thß½ng Minh Biªn D¸	261	95	9	1	0	1	10	692	600000	-1	-1	712	900000	658	550000	668	400000	718	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	22000	22000	22000	22000	22000	1459	1604	1677	1896	2388	100	350	300	150	100	1	2610
2618	Chúc Dçn Thß½ng Minh Biªn D¸	261	95	9	1	0	1	10	692	600000	-1	-1	712	900000	658	550000	668	400000	718	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	23000	23000	23000	23000	23000	1459	1604	1677	1896	2388	100	350	300	150	100	1	2610
2619	Chúc Dçn Thß½ng Minh Bäo Bäo	261	95	9	0	1	1	10	692	600000	-1	-1	712	900000	658	550000	668	400000	718	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	15000	15000	15000	15000	15000	1459	1604	1677	1896	2388	100	350	300	150	100	1	2610
2620	Chiêu Minh Quy Khß Trß·ng Thành	262	5	9	0	0	1	10	692	300000	-1	-1	712	900000	658	250000	668	100000	718	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	750	1313	656	562	750	846	930	972	1099	1269	100	350	300	150	100	1	2620
2621	Chiêu Minh Quy Khß Biªn D¸	262	5	9	1	0	1	10	692	300000	-1	-1	712	900000	658	250000	668	100000	718	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	862	1510	755	647	862	846	930	972	1099	1269	100	350	300	150	100	1	2620
2622	Chiêu Minh Quy Khß Biªn D¸	262	5	9	1	0	1	10	692	300000	-1	-1	712	900000	658	250000	668	100000	718	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	975	1707	853	731	975	846	930	972	1099	1269	100	350	300	150	100	1	2620
2629	Chiêu Minh Quy Khß Bäo Bäo	262	5	9	0	1	1	10	692	300000	-1	-1	712	900000	658	250000	668	100000	718	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	750	1313	656	562	750	846	930	972	1099	1269	100	350	300	150	100	1	2620
2630	Chiêu Minh Quy Khß Trß·ng Thành	263	45	9	0	0	1	10	692	350000	-1	-1	712	900000	658	300000	668	150000	718	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	783	1370	685	587	783	948	1042	1090	1232	1422	100	350	300	150	100	1	2630
2631	Chiêu Minh Quy Khß Biªn D¸	263	45	9	1	0	1	10	692	350000	-1	-1	712	900000	658	300000	668	150000	718	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	861	1507	753	646	861	948	1042	1090	1232	1422	100	350	300	150	100	1	2630
2632	Chiêu Minh Quy Khß Biªn D¸	263	45	9	1	0	1	10	692	350000	-1	-1	712	900000	658	300000	668	150000	718	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	939	1644	822	704	939	948	1042	1090	1232	1422	100	350	300	150	100	1	2630
2633	Chiêu Minh Quy Khß Biªn D¸	263	45	9	1	0	1	10	692	350000	-1	-1	712	900000	658	300000	668	150000	718	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1018	1781	890	763	1018	948	1042	1090	1232	1422	100	350	300	150	100	1	2630
2639	Chiêu Minh Quy Khß Bäo Bäo	263	45	9	0	1	1	10	692	350000	-1	-1	712	900000	658	300000	668	150000	718	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	783	1370	685	587	783	948	1042	1090	1232	1422	100	350	300	150	100	1	2630
2640	Chiêu Minh Quy Khß Trß·ng Thành	264	55	9	0	0	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	816	1428	714	612	816	1051	1156	1208	1366	1576	100	350	300	150	100	1	2640
2641	Chiêu Minh Quy Khß Biªn D¸	264	55	9	1	0	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	877	1535	767	657	877	1051	1156	1208	1366	1576	100	350	300	150	100	1	2640
2642	Chiêu Minh Quy Khß Biªn D¸	264	55	9	1	0	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	938	1642	821	703	938	1051	1156	1208	1366	1576	100	350	300	150	100	1	2640
2643	Chiêu Minh Quy Khß Biªn D¸	264	55	9	1	0	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	999	1749	874	749	999	1051	1156	1208	1366	1576	100	350	300	150	100	1	2640
2644	Chiêu Minh Quy Khß Biªn D¸	264	55	9	1	0	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1060	1856	928	795	1060	1051	1156	1208	1366	1576	100	350	300	150	100	1	2640
2649	Chiêu Minh Quy Khß Bäo Bäo	264	55	9	0	1	1	10	692	400000	-1	-1	712	900000	658	350000	668	200000	718	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	816	1428	714	612	816	1051	1156	1208	1366	1576	100	350	300	150	100	1	2640
2650	Chiêu Minh Quy Khß Trß·ng Thành	265	65	9	0	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	848	1485	742	636	848	1153	1268	1325	1498	1729	100	350	300	150	100	1	2650
2651	Chiêu Minh Quy Khß Biªn D¸	265	65	9	1	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	899	1574	787	674	899	1153	1268	1325	1498	1729	100	350	300	150	100	1	2650
2652	Chiêu Minh Quy Khß Biªn D¸	265	65	9	1	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	950	1663	831	712	950	1153	1268	1325	1498	1729	100	350	300	150	100	1	2650
2653	Chiêu Minh Quy Khß Biªn D¸	265	65	9	1	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1001	1752	876	751	1001	1153	1268	1325	1498	1729	100	350	300	150	100	1	2650
2654	Chiêu Minh Quy Khß Biªn D¸	265	65	9	1	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1052	1841	920	789	1052	1153	1268	1325	1498	1729	100	350	300	150	100	1	2650
2655	Chiêu Minh Quy Khß Biªn D¸	265	65	9	1	0	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1103	1931	965	827	1103	1153	1268	1325	1498	1729	100	350	300	150	100	1	2650
2659	Chiêu Minh Quy Khß Bäo Bäo	265	65	9	0	1	1	10	692	450000	-1	-1	712	900000	658	400000	668	250000	718	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	848	1485	742	636	848	1153	1268	1325	1498	1729	100	350	300	150	100	1	2650
2660	Chiêu Minh Quy Khß Trß·ng Thành	266	75	9	0	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	881	1542	771	661	881	1255	1380	1443	1631	1882	100	350	300	150	100	1	2660
2661	Chiêu Minh Quy Khß Biªn D¸	266	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	925	1619	809	694	925	1255	1380	1443	1631	1882	100	350	300	150	100	1	2660
2662	Chiêu Minh Quy Khß Biªn D¸	266	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	969	1697	848	727	969	1255	1380	1443	1631	1882	100	350	300	150	100	1	2660
2663	Chiêu Minh Quy Khß Biªn D¸	266	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1013	1774	887	760	1013	1255	1380	1443	1631	1882	100	350	300	150	100	1	2660
2664	Chiêu Minh Quy Khß Biªn D¸	266	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1057	1851	925	793	1057	1255	1380	1443	1631	1882	100	350	300	150	100	1	2660
2665	Chiêu Minh Quy Khß Biªn D¸	266	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1102	1928	964	826	1102	1255	1380	1443	1631	1882	100	350	300	150	100	1	2660
2666	Chiêu Minh Quy Khß Biªn D¸	266	75	9	1	0	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1146	2005	1002	859	1146	1255	1380	1443	1631	1882	100	350	300	150	100	1	2660
2669	Chiêu Minh Quy Khß Bäo Bäo	266	75	9	0	1	1	10	692	500000	-1	-1	712	900000	658	450000	668	300000	718	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	881	1542	771	661	881	1255	1380	1443	1631	1882	100	350	300	150	100	1	2660
